valley	site	infestation
elqui	vicuna	2
elqui	vicuna	3
elqui	vicuna	4
elqui	vicuna	7
elqui	vicuna	8
elqui	vicuna	2
elqui	vicuna	4
elqui	vicuna	5
elqui	vicuna	3
elqui	cochiguaz	5
elqui	cochiguaz	6
elqui	cochiguaz	5
elqui	cochiguaz	2
elqui	cochiguaz	6
elqui	cochiguaz	9
elqui	cochiguaz	8
elqui	cochiguaz	7
elqui	cochiguaz	6
elqui	cochiguaz	7
limari	Ovalle	11
limari	Ovalle	12
limari	Ovalle	13
limari	Ovalle	14
limari	Ovalle	15
limari	Ovalle	16
limari	Ovalle	12
limari	Ovalle	13
limari	Ovalle	17
limari	Ovalle	18
limari	Mpatria	19
limari	Mpatria	18
limari	Mpatria	14
limari	Mpatria	15
limari	Mpatria	17
limari	Mpatria	20
limari	Mpatria	18
limari	Mpatria	17
limari	Mpatria	15
limari	Mpatria	16
