site	microhab	size	Fecund	lnfecund
BCH	Alto	11	1232	7.116
BCH	Alto	6.3	267	5.587
BCH	Alto	8.7	730	6.593
BCH	Alto	7.4	314	5.749
BCH	Alto	9.4	538	6.288
BCH	Alto	7.1	230	5.438
BCH	Alto	6.5	128	4.852
BCH	Alto	10.3	910	6.813
BCH	Alto	8	517	6.248
BCH	Alto	11.1	659	6.491
BCH	Alto	8.2	356	5.875
BCH	Alto	9.9	624	6.436
BCH	Alto	9.7	714	6.571
BCH	Alto	9.9	616	6.423
BCH	Alto	9.4	1598	7.377
BCH	Alto	8.8	361	5.889
BCH	Alto	6.5	81	4.394
BCH	Alto	9.5	411	6.019
BCH	Alto	7.6	129	4.860
BCH	Alto	7.5	314	5.749
BCH	Alto	6.2	80	4.382
BCH	Alto	10.6	850	6.745
BCH	Alto	9.8	2257	7.722
BCH	Alto	8.1	455	6.120
BCH	Alto	9.6	673	6.512
BCH	Alto	8.3	446	6.1
BCH	Alto	9.8	1802	7.497
BCH	Alto	9.7	1318	7.184
BCH	Alto	8.1	269	5.595
BCH	Alto	9.5	357	5.878
BCH	Alto	8	759	6.632
BCH	Alto	10	2181	7.688
BCH	Alto	6.7	56	4.025
BCH	Alto	11	2069	7.635
BCH	Alto	8.7	652	6.480
BCH	Alto	9	373	5.922
BCH	Alto	7.9	851	6.746
BCH	Alto	8.7	561	6.330
BCH	Alto	9	1322	7.187
BCH	Alto	9	1460	7.286
BCH	Alto	6.5	589	6.378
BCH	Alto	10.5	1279	7.154
BCH	Alto	8.9	406	6.006
BCH	Bajo	6.8	21	3.045
BCH	Bajo	8.2	104	4.644
BCH	Bajo	7.4	106	4.663
BCH	Bajo	9.4	151	5.017
BCH	Bajo	6.8	196	5.278
BCH	Bajo	6.5	185	5.220
BCH	Bajo	10	1201	7.091
BCH	Bajo	7.1	156	5.050
BCH	Bajo	8.2	466	6.144
BCH	Bajo	9	701	6.553
BCH	Bajo	5.8	66	4.190
BCH	Bajo	9.8	204	5.318
BCH	Bajo	9.9	839	6.732
BCH	Bajo	6.6	59	4.078
BCH	Bajo	7.3	140	4.942
BCH	Bajo	10	1724	7.452
BCH	Bajo	10.4	708	6.562
BCH	Bajo	10.3	173	5.153
BCH	Bajo	9.8	285	5.652
BCH	Bajo	5.9	53	3.970
BCH	Bajo	9.8	700	6.551
BCH	Bajo	13	785	6.666
BCH	Bajo	7	87	4.466
BCH	Bajo	7.2	359	5.883
BCH	Bajo	6.7	54	3.989
BCH	Bajo	9.7	357	5.878
BCH	Bajo	7.3	663	6.497
BCH	Bajo	7.3	188	5.236
BCH	Bajo	8	488	6.190
BCH	Bajo	8.8	164	5.1
BCH	Bajo	9.8	470	6.153
BCH	Bajo	6.6	164	5.1
BCH	Bajo	5.6	53	3.970
BCH	Bajo	11	498	6.211
BCH	Bajo	10.4	1177	7.071
BCH	Bajo	7.2	92	4.522
BCH	Bajo	9.2	592	6.384
BCH	Bajo	8.1	264	5.576
BCH	Bajo	8.2	216	5.375
BCH	Bajo	10.7	2410	7.787
BCH	Bajo	12	459	6.129
BCH	Bajo	10.2	1453	7.281
BCH	Bajo	8.8	3894	8.267
BCH	Bajo	9	324	5.781
CL	Alto	4.2	29	3.367
CL	Alto	3.9	22	3.091
CL	Alto	6.7	40	3.689
CL	Alto	5	15	2.708
CL	Alto	4.6	28	3.332
CL	Alto	11	1800	7.496
CL	Alto	6.2	120	4.787
CL	Alto	4.4	29	3.367
CL	Alto	8	149	5.004
CL	Alto	6.5	170	5.136
CL	Bajo	4.2	14	2.639
CL	Bajo	5.5	272	5.606
CL	Bajo	6.2	55	4.007
CL	Bajo	5.5	29	3.367
CL	Bajo	4.9	28	3.332
CL	Bajo	3.5	22	3.091
CL	Bajo	4.5	58	4.060
CL	Bajo	7	20	2.996
CL	Bajo	3.9	18	2.890
CL	Bajo	4.8	25	3.219
CL	Bajo	5	18	2.890
CL	Bajo	5.5	22	3.091
CL	Bajo	6.1	49	3.892
CL	Bajo	4.7	55	4.007
CL	Bajo	4.6	35	3.555
CL	Bajo	4.9	39	3.664
CL	Bajo	5.5	21	3.045
CL	Bajo	5.7	14	2.639
