id	workout	diet	pulse	time
1	1	1	93	1
1	1	1	166	2
1	1	1	215	3
2	1	1	93	1
2	1	1	166	2
2	1	1	225	3
3	1	1	89	1
3	1	1	132	2
3	1	1	195	3
4	1	2	95	1
4	1	2	134	2
4	1	2	186	3
5	1	2	66	1
5	1	2	109	2
5	1	2	150	3
6	1	2	69	1
6	1	2	119	2
6	1	2	177	3
7	2	1	98	1
7	2	1	177	2
7	2	1	241	3
8	2	1	85	1
8	2	1	117	2
8	2	1	189	3
9	2	1	97	1
9	2	1	137	2
9	2	1	199	3
10	2	2	93	1
10	2	2	151	2
10	2	2	217	3
11	2	2	77	1
11	2	2	122	2
11	2	2	178	3
12	2	2	78	1
12	2	2	119	2
12	2	2	173	3
13	3	1	81	1
13	3	1	134	2
13	3	1	205	3
14	3	1	88	1
14	3	1	133	2
14	3	1	199	3
15	3	1	88	1
15	3	1	157	2
15	3	1	224	3
16	3	2	58	1
16	3	2	99	2
16	3	2	131	3
17	3	2	85	1
17	3	2	132	2
17	3	2	186	3
18	3	2	78	1
18	3	2	110	2
18	3	2	164	3
