Country	Continent	Geography	Country_size	Population	Pop_density	Urbanization	Ethnic dominance	Literacy	education_GDP	GDP	money_educ	GDP_percapita	educ_percap	perc_prot_land	protected_area	perc_PA_2019	delta_PA	total_mammals	total_birds	total_reptiles	total_amphibians	total_plants	threat_mammals07	threat_birds07	threat_reptiles07	threat_amphibians07	threat_plants07	prop_thr_mammals07	prop_thr_birds07	prop_thr_reptiles07	prop_thr_amphibians07	prop_thr_plants07	prop_thr_vertebrates07	threat_mammals17	threat_birds17	threat_reptiles17	threat_amphibians17	threat_plants17	prop_thr_mammals17	prop_thr_birds17	prop_thr_reptiles17	prop_thr_amphibians17	prop_thr_plants17	prop_thr_vertebrates17	Delta prop mammals	Delta prop birds	Delta prop reptiles	Delta prop amphibians	Delta prop plants	Delta prop vertebrates
Algeria	Africa	Continent	2381741	34178188	14,35	0,65	1	0,7	0,051	235500	12010,5	6890,36	351,41	2,5	59543,525	7,5	5	100	423	108	14	3164	15	10	7	3	3	0,15	0,02	0,06	0,21	0,0001	0,11	14	14	8	3	18	0,14	0,03	0,07	0,21	0,01	0,12	-0,01	0,01	0,01	0	0	0
Angola	Africa	Continent	1246700	12799293	10,27	0,57	2	0,67	0,024	110300	2647,2	8617,66	206,82	6,6	82282,2	6,97	0,37	296	997	254	135	5185	13	18	4	0	26	0,04	0,02	0,02	0,0001	0,01	0,02	18	29	5	0	34	0,06	0,03	0,02	0,0001	0,01	0,03	0,02	0,01	0	0	0	0,01
Benin	Africa	Continent	112622	8791832	78,06	0,41	2	0,35	0,044	12840	565	1460,45	64,26	7	7883,54	29,6	22,6	159	645	135	51	2500	11	4	4	0	14	0,07	0,01	0,03	0,0001	0,01	0,03	13	11	6	0	17	0,08	0,02	0,04	0,0001	0,01	0,04	0,01	0,01	0,01	0	0	0,01
Botswana	Africa	Continent	581730	1990876	3,42	0,6	1	0,81	0,087	26040	2265,5	13079,67	1137,93	18,5	107620,05	29,14	10,64	169	603	157	54	2151	8	8	0	0	0	0,05	0,01	0,0001	0,0001	0,0001	0,02	10	14	0	0	2	0,06	0,02	0,0001	0,0001	0,0001	0,02	0,01	0,01	0	0	0	0,01
Burkina Faso	Africa	Continent	274200	15746232	57,43	0,2	2	0,22	0,042	17820	748,4	1131,7	47,53	10,4	28516,8	14,89	4,49	129	511	81	32	1100	8	4	1	0	2	0,06	0,01	0,01	0,0001	0,0001	0,02	10	10	3	0	3	0,08	0,02	0,04	0,0001	0,0001	0,03	0,02	0,01	0,02	0	0	0,01
Burundi	Africa	Continent	27830	8988091	322,96	0,1	1	0,59	0,051	3103	158,3	345,23	17,61	5,6	1558,48	7,59	1,99	116	699	64	49	2500	11	8	0	6	2	0,09	0,01	0,0001	0,12	0,0001	0,06	14	14	0	1	8	0,12	0,02	0,0001	0,02	0,0001	0,04	0,03	0,01	0	-0,1	0	-0,02
Cameroon	Africa	Continent	475440	18879301	39,71	0,57	2	0,68	0,033	42760	1411,1	2264,91	74,74	4,5	21394,8	10,91	6,41	322	978	286	218	8260	42	15	2	53	355	0,13	0,02	0,01	0,24	0,04	0,1	44	27	12	56	490	0,14	0,03	0,04	0,26	0,06	0,12	0,01	0,01	0,03	0,01	0,02	0,02
Central African Republic	Africa	Continent	622984	4511488	7,24	0,39	2	0,49	0,014	3239	45,3	717,94	10,05	8,2	51084,688	18,06	9,86	187	793	201	99	3602	11	5	1	0	15	0,06	0,01	0,0001	0,0001	0,0001	0,02	15	14	0	0	24	0,08	0,02	0,0001	0,0001	0,01	0,02	0,02	0,01	0	0	0	0,01
Chad	Africa	Continent	1284000	10329208	8,04	0,27	2	0,26	0,019	16260	308,9	1574,18	29,91	9,1	116844	20,35	11,25	104	596	103	29	1600	13	6	1	0	2	0,13	0,0001	0,01	0,0001	0,0001	0,04	15	13	4	0	6	0,14	0,02	0,04	0,0001	0,0001	0,05	0,02	0,01	0,03	0	0	0,02
Congo	Africa	Continent	342000	4012809	11,73	0,61	2	0,84	0,019	15600	296,4	3887,55	73,86	4,5	15390	40,74	36,24	166	1184	354	254	6000	14	3	1	0	35	0,08	0,0001	0,0001	0,0001	0,01	0,02	17	6	4	0	45	0,1	0,01	0,01	0,0001	0,01	0,03	0,02	0	0,01	0	0	0,01
Cote dIvoire	Africa	Continent	322463	20617068	63,94	0,49	2	0,49	0,046	34000	1564	1649,12	75,86	2,6	8384,038	22,88	20,28	229	742	153	102	3660	25	12	3	13	105	0,11	0,02	0,02	0,13	0,03	0,07	30	22	7	14	113	0,13	0,03	0,05	0,14	0,03	0,09	0,02	0,01	0,03	0,01	0	0,02
Djibouti	Africa	Continent	23200	516055	22,24	0,87	1	0,68	0,084	1889	158,7	3660,46	307,48	0,2	46,4	1,57	1,37	69	369	33	8	1006	7	7	0	0	2	0,1	0,02	0,0001	0,0001	0,0001	0,03	8	11	1	0	3	0,12	0,03	0,03	0,0001	0,0001	0,04	0,01	0,01	0,03	0	0	0,01
Egypt	Africa	Continent	1001450	83082869	82,96	0,43	1	0,71	0,042	442600	18589,2	5327,21	223,74	0,8	8011,6	13,14	12,34	118	486	114	8	2076	14	10	11	0	2	0,12	0,02	0,1	0,0001	0,0001	0,06	19	14	12	0	3	0,16	0,03	0,11	0,0001	0,0001	0,07	0,04	0,01	0,01	0	0	0,01
Eritrea	Africa	Continent	117600	5647168	48,02	0,21	1	0,59	0,024	3946	94,7	698,76	16,77	5	5880	4,87	0	70	580	97	20	NA	12	7	6	0	3	0,17	0,01	0,06	0,0001	NA	0,06	12	17	6	0	5	0,17	0,03	0,06	0,0001	NA	0,07	0	0,02	0	0	NA	0
Ethiopia	Africa	Continent	1104300	87237338	79	0,17	2	0,43	0,06	66290	3977,4	759,88	45,59	5,5	60736,5	17,62	12,12	288	865	241	67	6603	38	21	1	9	22	0,13	0,02	0,0001	0,13	0,0001	0,07	30	32	2	12	43	0,1	0,04	0,01	0,18	0,01	0,08	-0,03	0,01	0	0,04	0	0,01
Gabon	Africa	Continent	267667	1514993	5,66	0,85	2	0,63	0,038	21440	814,7	14151,88	537,77	2,8	7494,676	22,44	19,64	166	757	140	103	6651	12	5	2	3	108	0,07	0,01	0,01	0,03	0,02	0,03	20	6	5	3	162	0,12	0,01	0,04	0,03	0,02	0,05	0,05	0	0,02	0	0,01	0,02
Gambia	Africa	Continent	11295	1782893	157,85	0,57	2	0,4	0,02	2264	45,3	1269,85	25,4	2,2	248,49	4,11	1,91	133	601	92	34	974	9	5	1	0	4	0,07	0,01	0,01	0,0001	0,0001	0,02	9	12	5	0	5	0,07	0,02	0,05	0,0001	0,01	0,04	0	0,01	0,04	0	0	0,01
Ghana	Africa	Continent	238533	23832495	99,91	0,5	2	0,58	0,054	34040	1838,2	1428,3	77,13	4,8	11449,584	15,04	10,24	249	773	181	84	3725	18	8	3	10	117	0,07	0,01	0,02	0,12	0,03	0,05	20	20	7	11	119	0,08	0,03	0,04	0,13	0,03	0,07	0,01	0,02	0,02	0,01	0	0,01
Guinea	Africa	Continent	245857	10057975	40,91	0,34	2	0,3	0,016	10460	167,4	1039,97	16,64	0,7	1720,999	35,65	34,95	215	736	593	101	3000	21	12	1	5	22	0,1	0,02	0,0001	0,05	0,01	0,04	27	19	8	5	44	0,13	0,03	0,01	0,05	0,01	0,05	0,03	0,01	0,01	0	0,01	0,01
Kenya	Africa	Continent	580367	39002772	67,2	0,22	2	0,85	0,069	61830	4266,3	1585,27	109,38	6,2	35982,754	12,36	6,16	407	1128	281	115	6506	32	27	5	6	103	0,08	0,02	0,02	0,05	0,02	0,04	27	41	11	11	232	0,07	0,04	0,04	0,1	0,04	0,06	-0,01	0,01	0,02	0,04	0,02	0,02
Lesotho	Africa	Continent	30355	2130819	70,2	0,25	1	0,85	0,13	3370	438,1	1581,55	205,6	0,2	60,71	0,26	0,06	59	360	18	30	1591	3	5	0	0	1	0,05	0,01	0,0001	0,0001	0,0001	0,02	3	7	0	0	4	0,05	0,02	0,0001	0,0001	0,0001	0,02	0	0,01	0	0	0	0
Libya	Africa	Continent	1759540	6310434	3,59	0,78	1	0,83	0,027	88860	2399,2	14081,44	380,2	0,1	1759,54	0,21	0,11	87	363	76	5	1825	9	4	5	0	1	0,1	0,01	0,07	0,0001	0,0001	0,05	11	7	6	0	3	0,13	0,02	0,08	0,0001	0,0001	0,06	0,02	0,01	0,01	0	0	0,01
Madagascar	Africa	Island	587041	20653556	35,18	0,29	2	0,69	0,031	20760	643,6	1005,15	31,16	1,9	11153,779	5,59	3,69	165	302	419	316	9505	47	35	20	55	280	0,28	0,12	0,05	0,17	0,03	0,16	120	35	139	141	609	0,73	0,12	0,33	0,45	0,06	0,41	0,44	0	0,28	0,27	0,03	0,25
Malawi	Africa	Continent	118484	14268711	120,43	0,19	2	0,63	0,058	11560	670,5	810,16	46,99	11,3	13388,692	22,88	11,58	207	678	126	89	3765	7	12	0	5	14	0,03	0,02	0,0001	0,06	0,0001	0,03	10	18	4	6	24	0,05	0,03	0,03	0,07	0,01	0,04	0,01	0,01	0,03	0,01	0	0,02
Mali	Africa	Continent	12401492	12666987	1,02	0,32	1	0,46	0,045	14480	651,6	1143,13	51,44	3,7	458855,204	8,23	4,53	134	615	359	33	1741	13	6	1	0	6	0,1	0,01	0,0001	0,0001	0,0001	0,03	13	15	4	0	8	0,1	0,02	0,01	0,0001	0,0001	0,03	0	0,01	0,01	0	0	0,01
Mauritania	Africa	Continent	1030700	3129486	3,04	0,41	2	0,51	0,029	6310	183	2016,31	58,47	1,7	17521,9	0,62	0	94	567	92	25	1100	11	8	2	0	0	0,12	0,01	0,02	0,0001	0,0001	0,04	18	16	6	0	0	0,19	0,03	0,07	0,0001	0,0001	0,07	0,07	0,01	0,04	0	0	0,03
Mauritius	Africa	Island	2040	1284264	629,54	0,42	1	0,84	0,039	15360	599	11960,16	466,45	6	122,4	4,73	0	10	137	33	3	900	4	11	7	0	88	0,4	0,08	0,21	0,0001	0,1	0,17	7	10	10	0	90	0,7	0,07	0,3	0,0001	0,1	0,27	0,3	-0,01	0,09	0	0	0,1
Mozambique	Africa	Continent	799380	21669278	27,11	0,37	1	0,48	0,05	18950	947,5	874,51	43,73	6,1	48762,18	21,57	15,47	228	757	225	94	5692	14	21	5	3	46	0,06	0,03	0,02	0,03	0,01	0,04	15	29	13	5	113	0,07	0,04	0,06	0,05	0,02	0,05	0	0,01	0,04	0,02	0,01	0,02
Namibia	Africa	Continent	824292	2108665	2,56	0,37	1	0,85	0,069	11230	774,9	5325,64	367,47	12,9	106333,668	37,89	24,99	192	680	270	63	3174	10	21	3	1	24	0,05	0,03	0,01	0,02	0,01	0,03	15	30	5	1	27	0,08	0,04	0,02	0,02	0,01	0,04	0,03	0,01	0,01	0	0	0,01
Niger	Africa	Continent	1266700	15306252	12,08	0,16	1	0,29	0,034	9784	332,7	639,22	21,73	7,7	97535,9	17,32	9,62	123	544	241	20	1460	12	5	0	0	2	0,1	0,01	0,0001	0,0001	0,0001	0,03	13	11	2	0	3	0,11	0,02	0,01	0,0001	0,0001	0,03	0,01	0,01	0,01	0	0	0,01
Nigeria	Africa	Continent	923768	149229090	161,54	0,48	2	0,68	0,009	338100	3042,9	2265,64	20,39	3,3	30484,344	13,93	10,63	290	968	199	120	4715	29	12	3	13	171	0,1	0,01	0,02	0,11	0,04	0,06	30	22	12	13	196	0,1	0,02	0,06	0,11	0,04	0,07	0	0,01	0,05	0	0,01	0,01
Rwanda	Africa	Continent	26338	10473282	397,65	0,18	1	0,7	0,038	9061	344,3	865,15	32,88	14,7	3871,686	9,11	0,33	206	720	76	54	2288	17	10	0	8	3	0,08	0,01	0,0001	0,15	0,0001	0,06	24	17	0	2	8	0,12	0,02	0,0001	0,04	0,0001	0,04	0,03	0,01	0	-0,11	0	-0,02
Senegal	Africa	Continent	196722	13711597	69,7	0,42	2	0,39	0,05	21900	1095	1597,19	79,86	11,3	22229,586	25,35	14,05	191	682	128	40	2086	13	8	6	0	7	0,07	0,01	0,05	0,0001	0,0001	0,03	18	17	8	0	12	0,09	0,02	0,06	0,0001	0,01	0,05	0,03	0,01	0,02	0	0	0,01
Sierra Leone	Africa	Continent	71740	6440053	89,77	0,38	2	0,35	0,038	4307	163,7	668,78	25,41	1,1	789,14	9,39	8,29	197	671	98	62	2090	15	10	3	2	47	0,08	0,01	0,03	0,03	0,02	0,04	22	14	8	3	66	0,11	0,02	0,08	0,05	0,03	0,07	0,04	0,01	0,05	0,02	0,01	0,03
South Africa	Africa	Continent	1219090	49052489	40,24	0,61	1	0,86	0,054	489700	26443,8	9983,18	539,09	5,4	65830,86	8,28	2,88	320	991	454	128	23420	29	36	19	21	73	0,09	0,04	0,04	0,16	0,0001	0,08	27	48	32	18	146	0,08	0,05	0,07	0,14	0,01	0,09	-0,01	0,01	0,03	-0,02	0	0
Sudan	Africa	Continent	2505813	41087825	16,4	0,43	1	0,61	0,06	87270	5236,2	2123,99	127,44	3,6	90209,268	2,28	0	302	659	185	23	3137	17	13	2	0	17	0,06	0,02	0,01	0,0001	0,01	0,02	13	23	5	0	16	0,04	0,03	0,03	0,0001	0,01	0,03	-0,01	0,02	0,02	0	0	0
Swaziland	Africa	Continent	17364	1123913	64,73	0,25	1	0,82	0,07	7703	539,2	6853,73	479,76	2	347,28	4,26	2,26	107	519	98	52	4074	6	7	0	0	11	0,06	0,01	0,0001	0,0001	0,0001	0,02	8	11	0	0	11	0,07	0,02	0,0001	0,0001	0,0001	0,02	0,02	0,01	0	0	0	0,01
Tanzania	Africa	Continent	947300	41048532	43,33	0,25	1	0,69	0,022	54260	1193,7	1321,85	29,08	15,6	147778,8	38,17	22,57	375	1131	360	202	10008	34	39	5	41	240	0,09	0,03	0,01	0,2	0,02	0,09	37	48	34	61	602	0,1	0,04	0,09	0,3	0,06	0,13	0,01	0,01	0,08	0,1	0,04	0,05
Togo	Africa	Continent	56785	6019877	106,01	0,42	2	0,61	0,026	5105	132,7	848,02	22,05	7,9	4486,015	27,62	19,72	175	674	158	53	3085	10	2	2	3	10	0,06	0,0001	0,01	0,06	0,0001	0,03	12	11	5	2	12	0,07	0,02	0,03	0,04	0,0001	0,04	0,01	0,01	0,02	-0,02	0	0,01
Tunisia	Africa	Continent	163610	10486339	64,09	0,67	1	0,74	0,073	81880	5977,2	7808,25	570	0,3	490,83	7,91	7,61	78	406	73	8	2196	14	7	4	1	0	0,18	0,02	0,05	0,13	0,0001	0,09	14	10	6	1	7	0,18	0,02	0,08	0,13	0,0001	0,1	0	0,01	0,03	0	0	0,01
Uganda	Africa	Continent	241038	32369558	134,29	0,13	2	0,67	0,052	35880	1865,8	1108,45	57,64	9,6	23139,648	16,06	6,46	360	1078	175	80	4900	28	17	0	6	38	0,08	0,02	0,0001	0,08	0,01	0,04	28	26	3	2	53	0,08	0,02	0,02	0,03	0,01	0,04	0	0,01	0,02	-0,05	0	-0,01
Zambia	Africa	Continent	752618	11862740	15,76	0,35	2	0,81	0,02	17390	347,8	1465,93	29,32	8,6	64725,148	37,87	29,27	255	851	184	104	4747	12	10	0	1	8	0,05	0,01	0,0001	0,01	0,0001	0,02	13	18	2	0	21	0,05	0,02	0,01	0,0001	0,0001	0,02	0	0,01	0,01	-0,01	0	0
Zimbabwe	Africa	Continent	390757	11392629	29,16	0,37	1	0,91	0,046	1959	90,1	171,95	7,91	7,9	30869,803	27,21	19,31	222	690	190	78	4440	10	12	0	6	17	0,05	0,02	0,0001	0,08	0,0001	0,03	10	17	4	7	43	0,05	0,02	0,02	0,09	0,01	0,05	0	0,01	0,02	0,01	0,01	0,01
Armenia	Asia	Continent	29743	2967004	99,75	0,64	1	1	0,032	18920	605,4	6376,8	204,06	7,6	2260,468	23,11	15,51	78	369	53	9	3553	11	12	5	0	1	0,14	0,03	0,09	0,0001	0,0001	0,07	9	15	7	0	71	0,12	0,04	0,13	0,0001	0,02	0,07	-0,03	0,01	0,04	0	0,02	0,01
Azerbaijan	Asia	Continent	86600	8238672	95,13	0,52	1	0,99	0,021	73650	1546,7	8939,55	187,73	5,5	4763	10,16	4,66	82	380	64	11	4300	11	13	5	0	0	0,13	0,03	0,08	0,0001	0,0001	0,06	8	18	9	1	42	0,1	0,05	0,14	0,09	0,01	0,09	-0,04	0,01	0,06	0,09	0,01	0,03
Bangladesh	Asia	Continent	143998	156050883	1083,7	0,27	1	0,48	0,027	224000	6048	1435,43	38,76	0,8	1151,984	4,61	3,81	131	797	131	54	5000	29	26	21	1	12	0,22	0,03	0,16	0,02	0,0001	0,11	36	36	23	1	21	0,27	0,05	0,18	0,02	0,0001	0,13	0,05	0,01	0,02	0	0	0,02
Bhutan	Asia	Continent	38394	691141	18	0,35	1	0,47	0,07	3789	265,2	5482,24	383,76	21,2	8139,528	48,01	26,81	92	678	62	45	5468	22	16	1	1	7	0,24	0,02	0,02	0,02	0,0001	0,08	25	20	3	1	18	0,27	0,03	0,05	0,02	0,0001	0,09	0,03	0,01	0,03	0	0	0,02
Cambodia	Asia	Continent	181035	14494293	80,06	0,22	1	0,74	0,017	27950	475,2	1928,35	32,78	16,2	29327,67	26,03	9,83	127	631	186	79	8000	27	24	11	3	31	0,21	0,04	0,06	0,04	0,0001	0,09	38	28	20	8	35	0,3	0,04	0,11	0,1	0,0001	0,14	0,09	0,01	0,05	0,06	0	0,05
China	Asia	Continent	9596961	1338612968	139,48	0,43	1	0,91	0,019	7800000	148200	5826,93	110,71	6,4	614205,504	15,61	9,21	502	1408	484	482	32200	83	86	31	85	446	0,17	0,06	0,06	0,18	0,01	0,12	74	93	43	87	573	0,15	0,07	0,09	0,18	0,02	0,12	-0,02	0	0,02	0	0	0
Georgia	Asia	Continent	69700	4615807	66,22	0,53	1	1	0,031	21600	669,6	4679,57	145,07	2,8	1951,6	8,33	5,53	98	381	151	11	4350	13	8	7	1	0	0,13	0,02	0,05	0,09	0,0001	0,07	9	15	7	1	61	0,09	0,04	0,05	0,09	0,01	0,07	-0,04	0,02	0	0	0,01	-0,01
India	Asia	Continent	3287263	1166079217	354,73	0,29	1	0,61	0,032	3267000	104544	2801,7	89,65	4,8	157788,624	5,97	1,17	422	1324	696	430	18664	89	75	25	63	247	0,21	0,06	0,04	0,15	0,01	0,11	92	87	54	75	387	0,22	0,07	0,08	0,17	0,02	0,13	0,01	0,01	0,04	0,03	0,01	0,02
Indonesia	Asia	Island	1904569	240271522	126,16	0,52	2	0,9	0,036	915900	32972,4	3811,94	137,23	9,7	184743,193	12,17	2,47	667	1759	736	448	29375	146	116	27	33	386	0,22	0,07	0,04	0,07	0,01	0,1	187	153	33	32	427	0,28	0,09	0,04	0,07	0,01	0,12	0,06	0,02	0,01	0	0	0,02
Iran, Islamic Republic of	Asia	Continent	1648195	66429284	40,3	0,68	1	0,77	0,051	842000	42942	12675,13	646,43	5,1	84057,945	8,61	3,51	158	552	340	22	8000	24	18	8	4	1	0,15	0,03	0,02	0,18	0,0001	0,1	18	27	14	4	4	0,11	0,05	0,04	0,18	0,0001	0,1	-0,04	0,02	0,02	0	0	0
