ID;plant_tag;flowers;fruit_set;crop_size;removal;seedling;dg_visits;ss_visits;germ;plants_per_host;hab50;s50clasif;hab100;s100clasif;hab250;s250clasif;UTM_E;UTM_N;temp;temp_std;hum;hum_std;lum;lum_std
1;QM02;176;0.85;150;0.20;1;2;2;0.80;1;0.19;Novel;0.32;Novel;0.23;Novel;615335;5575121;15.1;-0.51;76;1.04;1400;-0.48
2;QM03;7;0.85;6;1.00;0;2;4;0.67;1;0.15;Novel;0.27;Novel;0.24;Novel;615355;5575125;13.6;-1.14;77;1.12;1049;-0.54
3;QM04;11;0.85;10;1.00;0;3;0;0.80;1;0.19;Novel;0.29;Novel;0.24;Novel;615354;5575120;13.6;-1.14;77;1.12;1049;-0.54
4;QM05;41;0.73;30;0.30;0;1;0;0.50;1;0.19;Novel;0.32;Novel;0.25;Novel;615363;5575100;13.1;-1.35;77;1.12;4240;0.04
5;QM06;6;1.00;6;1.00;0;0;0;0.67;1;0.47;Novel;0.35;Novel;0.27;Novel;615409;5575075;13.4;-1.23;84;1.67;838;-0.58
6;QM07;10;1.00;10;1.00;0;0;0;0.75;1;0.51;Novel;0.35;Novel;0.27;Novel;615406;5575071;13.4;-1.23;84;1.67;838;-0.58
7;QM08;50;0.80;40;1.00;0;1;6;0.33;1;0.49;Novel;0.35;Novel;0.27;Novel;615407;5575073;13.6;-1.14;83;1.59;1386;-0.48
8;QM09;9;0.67;6;1.00;0;1;15;1.00;1;0.47;Novel;0.34;Novel;0.27;Novel;615405;5575077;14.4;-0.81;84;1.67;207;-0.70
9;QM10;5;0.76;4;1.00;0;2;2;1.00;1;0.57;Novel;0.40;Novel;0.27;Novel;615409;5575054;15.8;-0.22;86;1.83;398;-0.66
10;QM11;10;1.00;10;1.00;3;5;0;0.60;1;0.58;Novel;0.62;Native;0.33;Novel;615476;5574973;13.0;-1.39;84;1.67;487;-0.65
11;QM12;60;1.00;60;0.58;60;2;1;0.80;1;0.62;Novel;0.50;Native;0.46;Native;615541;5574898;12.3;-1.69;76;1.04;474;-0.65
12;QM13;127;0.94;120;0.00;0;0;2;0.80;2;0.10;Novel;0.20;Novel;0.30;Novel;613417;5572686;13.4;-1.23;76;1.04;13630;1.75
13;QM15;88;0.90;80;0.40;0;0;0;1.00;1;0.24;Novel;0.41;Native;0.16;Novel;612995;5570853;15.2;-0.47;70;0.56;4080;0.01
14;QM16;108;0.56;60;0.20;0;0;5;1.00;1;0.11;Novel;0.29;Novel;0.17;Novel;613020;5570857;13.2;-1.31;76;1.04;3180;-0.16
15;QM17;270;0.56;150;0.10;0;0;0;1.00;1;0.14;Novel;0.34;Novel;0.16;Novel;613020;5570853;12.4;-1.64;73;0.80;9210;0.94
16;QM19;66;0.90;60;0.40;0;0;2;1.00;2;0.00;Novel;0.17;Novel;0.07;Novel;612999;5570860;13.3;-1.27;69;0.49;5800;0.32
17;QM20;65;0.92;60;0.20;0;0;1;1.00;1;0.00;Novel;0.15;Novel;0.08;Novel;612998;5570838;13.6;-1.14;85;1.75;13570;1.74
18;QM23;16;0.92;15;0.50;0;0;0;1.00;1;0.00;Novel;0.14;Novel;0.13;Novel;613083;5570631;13.4;-1.23;73;0.80;17150;2.39
19;QM24;55;0.91;50;0.00;20;0;7;1.00;1;0.97;Native;0.90;Native;0.86;Native;613073;5570614;15.2;-0.47;74;0.88;823;-0.58
20;QM25;77;0.90;70;0.40;0;0;0;1.00;1;0.00;Novel;0.17;Novel;0.29;Novel;613089;5570612;12.9;-1.43;72;0.72;5830;0.33
21;QM26;46;0.86;40;0.30;0;0;1;0.80;1;0.00;Novel;0.07;Novel;0.27;Novel;613093;5570633;14.3;-0.85;75;0.96;2010;-0.37
22;QM27;31;0.96;30;0.40;0;0;37;0.80;3;0.00;Novel;0.00;Novel;0.25;Novel;613096;5570662;12.9;-1.43;74;0.88;4830;0.14
