Sample	Habitat	CACHUDITO	CARPINTERITO	CARPINTERO_NEGRO	CHUCAO	CHUNCHO	CHURRIN	COLIBRI	COLILARGA	COMESEBO	COMETOCINO	DIUCON	FIOFIO	HUETHUET	JILGUERO	PITIO	RAYADITO	TIJERAL	TORCAZA	TORDO	ZORZAL
Point	Native	1	0	0	10	0	0	27	1	0	15	2	5	3	0	1	17	1	0	0	0
Point	Plantation	0	0	0	8	0	2	26	0	0	4	4	10	1	0	0	7	0	0	0	0
Point	Secondary	0	0	0	7	0	0	14	0	0	3	0	1	1	0	0	3	0	0	0	0
Point	Secondary	0	0	0	10	0	0	36	0	0	0	1	11	2	0	0	12	0	7	2	3
Point	Plantation	0	0	0	3	0	0	11	0	0	2	0	7	1	0	0	2	0	1	0	0
Point	Plantation	0	0	0	3	0	2	18	0	0	0	0	1	0	0	0	4	0	1	3	0
Point	Native	0	1	0	14	1	4	39	2	0	2	1	5	3	0	2	10	0	0	0	3
Point	Native	0	0	0	9	0	2	26	1	0	5	0	9	2	0	0	8	0	0	0	2
Point	Logged	2	2	0	3	0	1	36	0	0	2	0	16	4	1	0	12	0	5	0	7
Point	Logged	2	0	1	7	0	3	58	4	0	0	1	6	0	4	1	2	0	5	3	7
Point	Logged	0	0	0	11	2	2	40	1	0	1	0	8	0	0	0	3	0	0	0	2
Point	Secondary	1	0	1	11	0	3	31	2	0	0	0	16	0	1	1	1	0	0	0	2
Camera1	Native	0	0	0	0	0	0	6	0	2	1	0	2	2	0	0	9	0	0	0	5
Camera1	Plantation	0	0	0	10	0	1	9	4	1	1	0	0	1	1	0	6	0	0	4	1
Camera1	Secondary	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2
Camera1	Secondary	0	0	0	2	0	0	6	2	2	0	0	1	6	0	1	1	0	0	1	20
Camera1	Plantation	0	0	0	0	0	0	4	0	0	0	0	4	0	1	0	2	0	0	0	6
Camera1	Plantation	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
Camera1	Native	0	0	0	10	0	0	13	0	1	1	0	0	6	0	0	4	0	0	0	1
Camera1	Native	0	0	0	1	1	0	26	0	0	0	0	1	0	0	0	2	0	0	0	1
Camera1	Logged	0	0	0	0	0	0	3	2	0	0	0	0	2	0	1	2	0	0	0	1
Camera1	Logged	0	1	0	1	0	0	14	6	1	3	0	7	1	0	0	6	0	0	0	3
Camera1	Logged	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	4	0	0	2	2
Camera1	Secondary	0	0	0	3	0	0	3	1	0	0	0	15	2	0	1	1	0	0	1	9
Camera2	Native	0	3	4	1	0	0	37	0	2	0	0	0	3	0	0	14	3	0	0	3
Camera2	Plantation	0	0	0	0	0	0	9	0	3	1	0	7	0	0	0	9	1	2	0	0
Camera2	Secondary	0	0	0	5	0	0	3	0	0	0	0	0	11	0	0	2	0	0	0	7
Camera2	Secondary	0	0	0	0	3	0	2	2	0	1	0	3	0	0	1	14	0	0	0	0
Camera2	Plantation	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	4
Camera2	Plantation	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Camera2	Native	0	0	0	43	0	5	6	7	2	0	0	5	11	0	0	36	0	0	0	24
Camera2	Native	0	0	0	0	0	0	5	1	3	0	0	1	3	0	0	9	0	0	0	3
Camera2	Logged	0	0	0	0	3	0	1	0	3	0	0	9	0	0	0	10	0	13	0	11
Camera2	Logged	0	0	0	0	0	0	10	4	0	0	0	1	0	0	0	9	1	0	0	2
Camera2	Logged	0	0	0	4	0	0	7	0	0	0	0	0	1	0	0	4	0	0	0	0
Camera2	Secondary	0	0	0	3	0	0	14	0	0	0	0	5	0	0	0	2	1	0	1	13
