Trap,grid,Oc.1,Oc.2,Oc.3,Oc.t,Cover,Moss.Cef,sp.trap,a.luma.p,drimys.p,l.apicul.p,mayte.p,rhaph.p,aristo.p,tristerix.p,ch.quila.p,grise.p,p.total,fruits.eaten.1,fruits.poten.1,fruits.total.1,fruits.eaten.2,fruits.poten.2,fruits.total.2,fruits.eaten.3,fruits.poten.3,fruits.total.3,biom.1,biom.2,biom.3,biom.tot,temp.1,temp.2,temp.3,precip.1,precip.2,precip.3,br.lunar.1,br.lunar.2,br.lunar.3,Sha.tot,Shannon.p.t,Shannon.b.t,Shannon.arb.frut
1Y_1,G1,0,0,0,0,0.9168,3,Citron,2037.178508,0,0,0,0,0,0,0,0,4074.357016,0,0,0,199.8,0,199.8,31.1136,0,31.1136,0,900,96.6,332.2,11,11.75,9.2,0.62,0,0,9,9.5,3,1.470808476,0.375519393,0.293403345,0.955699891
2Y_1,G1,0,0,0,0,0.8726,3,A.luma,1527.883881,0,0,0,0,0,0,0,0,2546.473135,1.97376,0,1.97376,43.9608,0,43.9608,110.1658,0,110.1658,7.68,183,299,163.2266667,11,11.75,9.2,0.62,0,0,9,9.5,3,1.494175138,1.113203951,1.167269996,1.277034259
3Y_1,G1,0,0,0,0,0.9298,2,A.luma,1018.589254,0,0,0,0,0,0,0,0,3055.767762,0,0,0,21.9688,0,21.9688,23.93,0,23.93,0,91.7,71.5,54.4,11,11.75,9.2,0.62,0,0,9,9.5,3,1.494175138,0.661236837,0.691821984,1.039720771
4Y_1,G1,0,0,0,0,0.9116,3,A.luma,509.2946269,0,0,0,0,0,509.2946269,0,0,2037.178508,0,0,0,79.823,30.831,110.654,57.5174,0,57.5174,0,581.95,176.05,252.6666667,11,11.75,9.2,0.62,0,0,9,9.5,3,1.747868097,1.175123249,1.158350028,1.609437912
5Y_1,G1,0,0,0,0,0.7998,1,Embot,0,0,0,0,0,0,0,0,0,2037.178508,0,0,0,0,0,0,9.572,0,9.572,0,0,28.6,9.533333333,11,11.75,9.2,0.62,0,0,9,9.5,3,1.242453325,0,0,0
1Z_1,G1,0,0,0,0,0.878666667,2,Eucry,1527.883881,0,0,0,0,0,0,0,0,4074.357016,0,0,0,107.892,0,107.892,57.018,0,57.018,0,486,146.2,210.7333333,11,11.75,9.2,0.62,0,0,9,9.5,3,1.08219553,0.644777371,0.54078945,0.673011667
2Z_1,G1,0,0,0,0,0.9324,1,Eucry,1018.589254,0,0,0,0,0,0,0,0,2546.473135,0.98688,0,0.98688,52.7704,0,52.7704,28.7528,0,28.7528,3.84,237.2,115,118.68,11,11.75,9.2,0.62,0,0,9,9.5,3,1.732867951,0.461613755,0.375051368,1.039720771
3Z_1,G1,0,0,0,0,0.900333333,3,A.luma,1527.883881,0,0,0,0,0,0,0,0,3055.767762,2.4672,0,2.4672,131.1388,0,131.1388,66.602,0,66.602,9.6,497.3,222.7,243.2,11,11.75,9.2,0.62,0,0,9,9.5,3,1.831020481,1.177270907,1.13591247,1.242453325
4Z_1,G1,1,0,0,1,0.9272,1,Eucry,509.2946269,1527.883881,0,0,0,0,0,0,0,3565.062389,0,0,0,199.9268,0,199.9268,14.3972,0,14.3972,0,768.4,55.6,274.6666667,11,11.75,9.2,0.62,0,0,9,9.5,3,1.667461933,0.945323186,0.917278457,0.950270539
5Z_1,G1,0,0,1,1,0.902933333,3,A.luma,1018.589254,0,0,0,0,0,1527.883881,0,0,3565.062389,0,0,0,142.4138,0,142.4138,250.2188,0,250.2188,0,419.65,660.9,360.1833333,11,11.75,9.2,0.62,0,0,9,9.5,3,1.695742534,0.49881225,0.58678725,1.277034259
