year	month	aphspiC	aphspiN	carbarC	carbarN	elaalbC	elaalbN	phrpatC	phrpatN	troaedC	troaedN	turfalC	turfalN	zoncapC	zoncapN
2003	jan	7.085020243	6.105006105	0	0	4.048582996	36.63003663	0	0	1.012145749	0	0	0	1.012145749	0
2003	feb	2.52482747	1.022913257	0	0	0.841609157	0	5.891264097	4.091653028	0	0	0	1.022913257	0.841609157	0
2003	mar	3.9407314	1.87434398	0	0	0.562961629	0.624781327	0	0	0	0	0	1.249562653	0	0.624781327
2003	apr	5.169561621	2.423842857	0	0	0	0	3.101736973	1.454305714	0	0	0	0	0	0
2003	may	2.658631691	0	0	0	0	0	3.101736973	17.35793897	0	0	0	0	0	0
2003	jun	8.811349018	0.884173298	0	0	0	0	6.167944312	0.884173298	0	0	0	0	0	0
2003	jul	3.863927915	2.325716611	0	0	0	0	0	0	0	0	0	0	0	0
2003	aug	2.09172201	0.713704555	0	0	0	0	0	0.713704555	0	0	0	0	0	0
2003	sep	2.795169946	0	0	0	0	0	1.863446631	4.507211538	0.465861658	0	0	0	0	1.001602564
2003	oct	1.262137556	0.968682495	0	0	0.420712519	0.968682495	0	1.453023742	0.841425037	1.453023742	1.262137556	1.453023742	0.841425037	0.484341247
2003	nov	0.98028644	0.861786656	0	0.430893328	1.960572879	10.7723332	0	17.23573312	0.49014322	0.861786656	0.49014322	0	0	2.15446664
2003	dec	1.687649779	4.503341479	0	1.200891061	2.531474668	6.004455306	0	23.11715293	2.531474668	1.801336592	0	0	0.843824889	0.600445531
2004	jan	6.597176408	1.249833356	0	0.416611119	3.534201647	3.749500067	0	0.416611119	0.706840329	1.666444474	0	0	1.649294102	0
2004	feb	4.747117115	1.379208886	0	0	2.373558558	3.677890362	1.186779279	0.919472591	0.395593093	3.218154067	0	0	0	0
2004	mar	1.941303607	3.097157841	0	0	0	1.548578921	0.431400802	18.06675408	0	0.258096487	0	0	0	0
2004	apr	5.574136009	2.599630852	0	0.649907713	0	0	2.908244874	51.99261705	0	0	0	0	0	0
2004	may	3.984150326	1.121491135	4.708541294	1.121491135	0	0	2.897563873	40.93442641	0	0	0	0	0	0
2004	jun	3.015802807	2.202416785	11.05794362	0	0	0	1.005267602	2.202416785	0	0	0	0	0	0
2004	jul	1.752633332	5.215123859	0.876316666	17.60104302	0	0	0	5.867014342	0	0	0	0	0	0
2004	aug	2.67465497	1.124935316	2.67465497	1.124935316	0	0	0.534930994	2.249870632	0	0	0	0	0	0
2004	sep	2.270456816	0.481491468	0.851421306	0	0	0	0.567614204	0.962982936	0	0	0	0	0.567614204	2.40745734
2004	oct	0.465805238	0.37896875	0	0	0.232902619	0.37896875	0.465805238	0.7579375	2.096123569	1.894843751	0.465805238	0.37896875	0.698707856	0
2004	nov	0.66259685	0.211745973	0	0.423491945	2.429521782	4.234919452	0.66259685	4.023173479	2.429521782	2.117459726	0	0	0.66259685	0.211745973
2004	dec	1.290346366	2.01435226	0	0.503588065	0.921675976	10.8271434	0.36867039	12.58970162	1.659016756	2.517940325	0.184335195	0	0.36867039	1.00717613
2005	jan	2.361922038	5.469502057	0.472384408	1.640850617	2.598114241	6.563402468	0.236192204	6.016452262	0.944768815	2.187800823	0.472384408	1.093900411	0.236192204	1.093900411
2005	feb	4.034501357	0.77356272	0	0	3.397474827	3.094250882	2.972790473	0.25785424	1.698737413	0.25785424	0.212342177	0.77356272	0.212342177	0.51570848
2005	mar	2.732937361	0	0	0	0.22774478	0	2.505192581	0	0	0	0.45548956	0	0	0
2005	apr	6.27516603	6.274312963	0	0	0.261465251	0.78428912	5.229305025	0.78428912	0	0.39214456	0.784395754	0	0	0
2005	may	7.45783341	10.79531224	1.789880018	0.43181249	0	0.43181249	19.6886802	48.79481134	0	0	0	1.295437469	0	0
2005	jun	6.922011998	2.680993898	2.768804799	1.608596339	0	0	1.845869866	16.62216217	0	0	0	0	0	0
2005	jul	3.165558721	1.530807501	0	0	0	0	4.748338082	4.592422503	0	0	0	0	0	0
2005	aug	0.772320049	1.569218215	0	0	0	0	5.406240346	5.230727385	0	0	0	0	0	0
2005	sep	1.473245855	0.898634076	0	0	0	0	2.946491711	5.391804457	0	0	0	0	1.473245855	0
2005	oct	1.13939858	1.07248727	0	0.214497454	0	0	1.595158012	2.788466901	0.911518864	2.144974539	0	0	0.227879716	0.214497454
2005	nov	1.300035101	0.478317852	0	0.478317852	0.65001755	4.06570174	1.083362584	10.76215167	0.866690067	1.674112481	0	0	0.216672517	0.717476778
2005	dec	2.118071919	2.367072	2.912348889	4.057837714	0.52951798	5.410450285	0.79427697	23.67072	0.52951798	4.057837714	0.52951798	0	0	0
2006	jan	11.15055931	1.279747736	0.892044745	1.023798189	4.906246097	3.839243208	14.27271592	3.071394567	4.906246097	5.374940492	0.446022372	0.255949547	5.35226847	0.255949547
2006	feb	9.276273942	1.250171899	0.441727331	0	4.859000636	2.812886772	9.276273942	5.313230569	2.208636653	0.625085949	0.441727331	0.312542975	0.883454661	2.187800823
2006	mar	14.76377953	5.785063575	0	0	1.789549034	1.522385151	24.15891195	5.785063575	0	0	0	0	0	0
