Condition	Video	Date	Time	Time_2
A	E01-0030	16/08/2017	11:54:00	0.495833333
A	E01-0031	16/08/2017	12:27:00	0.51875
A	E01-0032	16/08/2017	13:59:00	0.582638889
A	E01-0033	16/08/2017	15:46:00	0.656944444
A	E01-0036	18/08/2017	13:15:00	0.552083333
A	E01-0045	28/08/2017	14:12:00	0.591666667
A	E01-0046	29/08/2017	15:49:00	0.659027778
A	E01-0047	29/08/2017	16:43:00	0.696527778
A	E01-0051	30/08/2017	11:54:00	0.495833333
A	E01-0053	30/08/2017	14:44:00	0.613888889
A	E01-0056	01/09/2017	11:43:00	0.488194444
A	E01-0057	02/09/2017	14:14:00	0.593055556
B	E01-0059	07/09/2017	13:31:00	0.563194444
B	E01-0066	09/09/2017	13:52:00	0.577777778
B	E01-0069	09/09/2017	16:11:00	0.674305556
B	E01-0075	12/09/2017	16:01:00	0.667361111
B	E01-0076	13/09/2017	10:19:00	0.429861111
B	E01-0078	14/09/2017	7:15:00	0.302083333
B	E01-0080	14/09/2017	10:09:00	0.422916667
B	E01-0082	14/09/2017	13:04:00	0.544444444
B	E01-0095	15/09/2017	12:28:00	0.519444444
B	E01-0097	15/09/2017	14:00:00	0.583333333
B	E01-0103	15/09/2017	15:05:00	0.628472222
B	E01-0106	16/09/2017	11:04:00	0.461111111
B	E01-0108	16/09/2017	12:06:00	0.504166667
B	E01-0109	16/09/2017	12:55:00	0.538194444
B	E01-0110	16/09/2017	14:19:00	0.596527778
B	E01-0121	17/09/2017	8:32:00	0.355555556
B	E01-0122	17/09/2017	9:38:00	0.401388889
B	E01-0124	17/09/2017	13:39:00	0.56875
B	E01-0126	17/09/2017	15:21:00	0.639583333
B	E01-0128	17/09/2017	16:05:00	0.670138889
B	E01-0130	18/09/2017	13:43:00	0.571527778
B	E01-0137	20/09/2017	11:23:00	0.474305556
B	E01-0138	20/09/2017	16:24:00	0.683333333
B	E01-0139	21/09/2017	6:55:00	0.288194444
B	E01-0140	21/09/2017	9:04:00	0.377777778
B	E01-0142	21/09/2017	14:05:00	0.586805556
B	E01-0143	22/09/2017	11:28:00	0.477777778
B	E01-0144	22/09/2017	15:08:00	0.630555556
B	E01-0145	22/09/2017	16:44:00	0.697222222
B	E01-0148	23/09/2017	14:29:00	0.603472222
B	E01-0151	24/09/2017	15:24:00	0.641666667
B	E01-0160	25/09/2017	17:53:00	0.745138889
B	E01-0161	26/09/2017	12:54:00	0.5375
B	E01-0166	27/09/2017	9:49:00	0.409027778
B	E01-0167	27/09/2017	11:58:00	0.498611111
B	E01-0168	27/09/2017	13:47:00	0.574305556
B	E01-0169	27/09/2017	15:55:00	0.663194444
B	E01-0171	28/09/2017	14:12:00	0.591666667
B	E01-0177	04/10/2017	6:58:00	0.290277778
A	E02-0037	06/08/2017	11:18:00	0.470833333
A	E02-0038	06/08/2017	15:21:00	0.639583333
A	E02-0042	12/08/2017	11:08:00	0.463888889
A	E02-0044	12/08/2017	15:23:00	0.640972222
A	E02-0045	12/08/2017	16:37:00	0.692361111
A	E02-0046	13/08/2017	15:27:00	0.64375
A	E02-0047	16/08/2017	10:59:00	0.457638889
A	E02-0048	17/08/2017	15:07:00	0.629861111
A	E02-0049	17/08/2017	16:31:00	0.688194444
A	E02-0058	20/08/2017	8:27:00	0.352083333
A	E02-0059	20/08/2017	15:06:00	0.629166667
A	E02-0060	21/08/2017	13:42:00	0.570833333
A	E02-0061	21/08/2017	16:55:00	0.704861111
A	E02-0062	22/08/2017	14:04:00	0.586111111
A	E02-0063	22/08/2017	15:17:00	0.636805556
A	E02-0064	23/08/2017	11:19:00	0.471527778
A	E02-0065	24/08/2017	8:06:00	0.3375
A	E02-0066	24/08/2017	11:09:00	0.464583333
A	E02-0067	24/08/2017	12:14:00	0.509722222
A	E02-0068	24/08/2017	12:59:00	0.540972222
A	E02-0070	24/08/2017	15:39:00	0.652083333
A	E02-0071	24/08/2017	16:31:00	0.688194444
A	E02-0072	25/08/2017	8:02:00	0.334722222
A	E02-0073	25/08/2017	11:55:00	0.496527778
A	E02-0074	25/08/2017	12:47:00	0.532638889
A	E02-0078	25/08/2017	15:59:00	0.665972222
A	E02-0079	26/08/2017	8:47:00	0.365972222
A	E02-0081	27/08/2017	7:36:00	0.316666667
A	E02-0082	27/08/2017	9:09:00	0.38125
