Condition	Video	Date	Photo.Time	Time_2
A	N01-0080	05/08/2017	8:12:00	0.341666667
A	N01-0081	05/08/2017	10:04:00	0.419444444
A	N01-0082	05/08/2017	13:20:00	0.555555556
A	N01-0083	05/08/2017	15:44:00	0.655555556
A	N01-0084	05/08/2017	17:59:00	0.749305556
A	N01-0085	06/08/2017	7:46:00	0.323611111
A	N01-0086	06/08/2017	8:33:00	0.35625
A	N01-0087	06/08/2017	10:37:00	0.442361111
A	N01-0088	06/08/2017	11:35:00	0.482638889
A	N01-0089	06/08/2017	12:32:00	0.522222222
A	N01-0090	06/08/2017	13:14:00	0.551388889
A	N01-0093	06/08/2017	13:47:00	0.574305556
A	N01-0094	06/08/2017	14:30:00	0.604166667
A	N01-0096	06/08/2017	15:05:00	0.628472222
A	N01-0099	06/08/2017	15:36:00	0.65
A	N01-0101	06/08/2017	16:24:00	0.683333333
A	N01-0105	06/08/2017	17:06:00	0.7125
A	N01-0106	07/08/2017	7:47:00	0.324305556
A	N01-0108	07/08/2017	8:25:00	0.350694444
A	N01-0110	07/08/2017	9:44:00	0.405555556
A	N01-0112	07/08/2017	10:18:00	0.429166667
A	N01-0113	07/08/2017	13:56:00	0.580555556
A	N01-0114	07/08/2017	16:42:00	0.695833333
A	N01-0115	08/08/2017	8:02:00	0.334722222
A	N01-0116	08/08/2017	9:00:00	0.375
A	N01-0117	08/08/2017	9:52:00	0.411111111
A	N01-0119	08/09/2017	7:55:00	0.329861111
A	N01-0121	09/08/2017	12:03:00	0.502083333
A	N01-0123	09/08/2017	13:57:00	0.58125
A	N01-0127	09/08/2017	14:43:00	0.613194444
A	N01-0129	09/08/2017	15:29:00	0.645138889
A	N01-0131	09/08/2017	16:19:00	0.679861111
A	N01-0133	09/08/2017	17:34:00	0.731944444
A	N01-0136	10/08/2017	16:30:00	0.6875
A	N01-0138	11/08/2017	12:23:00	0.515972222
A	N01-0139	11/08/2017	15:43:00	0.654861111
A	N01-0140	11/08/2017	16:47:00	0.699305556
A	N01-0142	11/08/2017	17:40:00	0.736111111
A	N01-0143	12/08/2017	8:58:00	0.373611111
A	N01-0144	12/08/2017	13:20:00	0.555555556
A	N01-0145	12/08/2017	14:10:00	0.590277778
A	N01-0146	12/08/2017	15:00:00	0.625
A	N01-0149	12/08/2017	17:13:00	0.717361111
A	N01-0151	13/08/2017	7:37:00	0.317361111
A	N01-0152	13/08/2017	8:12:00	0.341666667
A	N01-0153	13/08/2017	8:44:00	0.363888889
A	N01-0154	13/08/2017	13:24:00	0.558333333
A	N01-0155	13/08/2017	13:59:00	0.582638889
A	N01-0156	13/08/2017	14:35:00	0.607638889
A	N01-0157	13/08/2017	15:06:00	0.629166667
A	N01-0159	13/08/2017	16:24:00	0.683333333
A	N01-0161	13/08/2017	17:27:00	0.727083333
A	N01-0162	13/08/2017	18:08:00	0.755555556
A	N01-0163	14/08/2017	9:42:00	0.404166667
A	N01-0164	14/08/2017	10:40:00	0.444444444
A	N01-0165	14/08/2017	11:41:00	0.486805556
A	N01-0167	14/08/2017	12:45:00	0.53125
A	N01-0168	14/08/2017	13:40:00	0.569444444
A	N01-0170	14/08/2017	14:20:00	0.597222222
A	N01-0172	14/08/2017	15:40:00	0.652777778
A	N01-0175	14/08/2017	16:38:00	0.693055556
A	N01-0179	14/08/2017	17:26:00	0.726388889
A	N01-0180	14/08/2017	18:00:00	0.75
A	N01-0181	15/08/2017	7:28:00	0.311111111
A	N01-0183	15/08/2017	8:23:00	0.349305556
A	N01-0185	15/08/2017	8:59:00	0.374305556
A	N01-0187	15/08/2017	9:33:00	0.397916667
