paperID	caseID	location	zone	crop	crop2	exp_detail	experiment	agriculture	pest	Xe	Se	Ne	Xc	Sc	Nc	hedges_d	var
art1	D01	costarica	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	0.52	0.084852814	18	0.55	0.084852814	18	-0.345696649	0.112770919
art1	D02	costarica	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	0.16	0.084852814	18	0.1	0.084852814	18	0.691393297	0.117750343
art1	D03	costarica	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	0.1	0.084852814	18	0.09	0.042426407	18	0.145758505	0.111406188
art4	D04	guatemala	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	43.7	14.5	9	37	14.8	9	0.43553706	0.227491459
art4	D05	guatemala	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	23.4	10	11	18.3	7.1	11	0.565761407	0.189092863
art7	D06	panama	tropical	cacao	cacao	exclusion	exclusion	traditional	arthropod	9.7	3.130495168	20	7.6	2.683281573	20	0.70598358	0.10623016
art8	D07	usa	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	25.7	13.9	8	33.7	17.7	8	-0.475286976	0.257059303
art8	D08	usa	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	41.9	7.6	8	38.5	8.2	8	0.406611411	0.255166651
art9	D09	ethiopia	tropical	raps	other	exclusion	exclusion	traditional	arthropod	2.28	0.458911756	26	2.18	0.458911756	26	0.214621789	0.077365986
art13	D10	netherlands	temperate	apple	apple	nest_boxes	attraction	traditional	arthropod	0.058	0.047	7	0.029	0.023	7	0.733755032	0.30494273
art13	D11	netherlands	temperate	apple	apple	nest_boxes	attraction	organic	arthropod	0.057	0.035	12	0.053	0.025	12	0.126984045	0.167002603
art17	D12	indonesia	tropical	cacao	cacao	exclusion	exclusion	traditional	arthropod	3.447	1.816	15	2.72	1.375	15	0.439167375	0.1365478
art17	D13	indonesia	tropical	cacao	cacao	exclusion	exclusion	traditional	arthropod	596.08	161.766	15	756.227	175.427	15	-0.923453224	0.147546098
art17	D14	indonesia	tropical	cacao	cacao	exclusion	exclusion	traditional	arthropod	58.152	24.375	15	61.469	15.117	15	-0.159129214	0.133755368
art18	D15	jamaica	tropical	coffee	coffee	exclusion	exclusion	mixed	arthropod	12.02	3.398823326	5	6.19	3.398823326	5	1.549302787	0.520016956
art18	D16	jamaica	tropical	coffee	coffee	exclusion	exclusion	mixed	arthropod	6.78	3.57	9	3.55	3.45	9	0.876279526	0.243551828
